Name	cricket	literature	family	church/royalty	sports	royalty	music	politics	military	explorers
Isaac Shelby	0.01	0.01	0.19	0.01	0.01	0.04	0.01	0.46	0.11	0.16
Gerald Ford	0.01	0.04	0.23	0.01	0.07	0.01	0.01	0.49	0.08	0.04
Henry Cornelius Burnett	0.01	0.01	0.13	0.01	0.01	0.02	0.01	0.71	0.06	0.03
Samantha Smith	0.0	0.14	0.3	0.01	0.02	0.04	0.05	0.1	0.13	0.2
Robert Falcon Scott	0.02	0.08	0.31	0.01	0.02	0.05	0.01	0.01	0.05	0.44
Peter Jones (missionary)	0.01	0.04	0.21	0.02	0.01	0.11	0.05	0.06	0.01	0.48
Tim Duncan	0.01	0.03	0.15	0.0	0.75	0.01	0.01	0.02	0.0	0.01
Master Juba	0.03	0.44	0.29	0.02	0.02	0.03	0.13	0.02	0.0	0.03
Calvin Coolidge	0.01	0.03	0.24	0.01	0.01	0.02	0.01	0.63	0.02	0.02
Phan Xich Long	0.01	0.01	0.27	0.11	0.01	0.02	0.01	0.04	0.03	0.5
Abu Nidal	0.01	0.03	0.3	0.02	0.01	0.01	0.01	0.03	0.09	0.49
Pain fitzJohn	0.0	0.01	0.12	0.08	0.01	0.72	0.01	0.02	0.01	0.02
James II of England	0.01	0.03	0.2	0.03	0.0	0.62	0.0	0.06	0.03	0.02
Reese Witherspoon	0.02	0.53	0.21	0.0	0.05	0.02	0.1	0.04	0.01	0.01
Edward VIII	0.01	0.03	0.25	0.01	0.01	0.52	0.01	0.04	0.1	0.03
Strapping Young Lad	0.02	0.02	0.2	0.01	0.02	0.01	0.7	0.01	0.01	0.01
William T. Anderson	0.01	0.01	0.22	0.01	0.01	0.01	0.01	0.11	0.07	0.55
Æthelbald of Mercia	0.01	0.02	0.17	0.69	0.01	0.08	0.01	0.01	0.01	0.01
Pyotr Ilyich Tchaikovsky and the Belyayev circle	0.01	0.04	0.3	0.01	0.0	0.02	0.57	0.02	0.01	0.01
Elias Ashmole	0.0	0.19	0.25	0.04	0.01	0.42	0.01	0.04	0.03	0.01
Herbie Hewett	0.71	0.02	0.14	0.0	0.04	0.03	0.02	0.01	0.01	0.01
Stephen, King of England	0.01	0.01	0.24	0.09	0.01	0.57	0.0	0.01	0.05	0.01
Ruby Laffoon	0.01	0.02	0.15	0.0	0.02	0.01	0.02	0.75	0.01	0.01
William O'Connell Bradley	0.01	0.01	0.2	0.0	0.01	0.01	0.01	0.72	0.02	0.01
Tyrone Wheatley	0.01	0.02	0.15	0.01	0.75	0.01	0.01	0.02	0.01	0.01
Neil Harvey with the Australian cricket team in England in 1948	0.86	0.01	0.1	0.0	0.01	0.0	0.01	0.0	0.01	0.0
Jocelin of Glasgow	0.01	0.01	0.19	0.13	0.01	0.61	0.01	0.01	0.01	0.01
Ben Paschal	0.03	0.01	0.1	0.01	0.76	0.01	0.01	0.02	0.02	0.02
Eardwulf of Northumbria	0.01	0.01	0.12	0.75	0.01	0.07	0.01	0.01	0.01	0.01
Sarah Churchill, Duchess of Marlborough	0.01	0.01	0.33	0.01	0.01	0.59	0.0	0.03	0.01	0.01
Charles Carroll the Settler	0.01	0.02	0.2	0.03	0.01	0.35	0.0	0.32	0.01	0.06
Mary II of England	0.01	0.01	0.25	0.01	0.01	0.65	0.01	0.01	0.02	0.01
Ed Stelmach	0.01	0.03	0.27	0.01	0.03	0.01	0.01	0.62	0.02	0.01
Big Star	0.01	0.06	0.25	0.0	0.01	0.01	0.63	0.01	0.01	0.01
Harry Cobby	0.01	0.02	0.13	0.01	0.01	0.03	0.02	0.0	0.74	0.01
Leslie Groves	0.01	0.07	0.18	0.02	0.03	0.02	0.01	0.21	0.42	0.04
Don Tallon	0.82	0.01	0.1	0.0	0.01	0.01	0.01	0.01	0.02	0.01
William Brill	0.04	0.01	0.13	0.01	0.01	0.02	0.01	0.01	0.73	0.01
Ivan Bagramyan	0.0	0.01	0.2	0.03	0.01	0.0	0.0	0.02	0.7	0.02
Ernst Lindemann	0.01	0.01	0.17	0.01	0.01	0.04	0.01	0.01	0.69	0.05
Talbot Baines Reed	0.02	0.52	0.26	0.01	0.03	0.08	0.01	0.04	0.01	0.02
Edward III of England	0.01	0.02	0.3	0.05	0.0	0.46	0.01	0.07	0.04	0.04
Faryl Smith	0.01	0.07	0.18	0.01	0.11	0.05	0.53	0.01	0.01	0.02
Josquin des Prez	0.01	0.12	0.15	0.47	0.01	0.04	0.18	0.01	0.01	0.01
Douglas Jardine	0.63	0.03	0.29	0.0	0.0	0.02	0.0	0.02	0.01	0.0
Sam Loxton with the Australian cricket team in England in 1948	0.91	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cedric Howell	0.04	0.01	0.09	0.01	0.02	0.05	0.01	0.01	0.74	0.02
Mary of Teck	0.02	0.05	0.22	0.01	0.02	0.59	0.02	0.01	0.04	0.02
Lawrence Sullivan Ross	0.0	0.03	0.22	0.0	0.01	0.01	0.01	0.31	0.1	0.31
Archie Jackson	0.66	0.02	0.22	0.01	0.01	0.02	0.01	0.02	0.01	0.02
Diocletian	0.0	0.01	0.26	0.54	0.0	0.01	0.01	0.11	0.03	0.02
Jacques Plante	0.01	0.05	0.17	0.01	0.7	0.01	0.01	0.02	0.01	0.02
Uncle Tupelo	0.02	0.04	0.19	0.01	0.02	0.01	0.65	0.03	0.01	0.02
William Calcraft	0.04	0.07	0.32	0.02	0.03	0.14	0.02	0.03	0.01	0.31
Henrik Sedin	0.0	0.0	0.04	0.0	0.91	0.01	0.01	0.0	0.01	0.01
Wail al-Shehri	0.02	0.04	0.18	0.01	0.03	0.01	0.02	0.04	0.06	0.59
Bix Beiderbecke	0.01	0.09	0.28	0.01	0.03	0.03	0.5	0.04	0.01	0.02
Art Houtteman	0.02	0.01	0.14	0.0	0.74	0.0	0.01	0.02	0.02	0.02
Alexis Bachelot	0.01	0.03	0.2	0.06	0.01	0.16	0.01	0.02	0.02	0.48
Arthur Morris	0.8	0.01	0.14	0.01	0.01	0.01	0.01	0.01	0.01	0.0
U2	0.02	0.07	0.2	0.01	0.02	0.01	0.62	0.03	0.01	0.01
Hannah Primrose, Countess of Rosebery	0.01	0.1	0.41	0.01	0.01	0.38	0.01	0.06	0.01	0.01
Stigand	0.0	0.0	0.14	0.15	0.01	0.66	0.01	0.01	0.0	0.01
James Newland	0.02	0.01	0.05	0.01	0.01	0.03	0.01	0.01	0.85	0.01
Anna Laetitia Barbauld	0.01	0.57	0.27	0.03	0.01	0.05	0.01	0.05	0.0	0.01
Sid Barnes	0.59	0.03	0.29	0.01	0.02	0.02	0.01	0.01	0.02	0.01
The Kinks	0.01	0.07	0.25	0.0	0.02	0.01	0.6	0.01	0.0	0.0
Ælle of Sussex	0.01	0.01	0.12	0.75	0.02	0.02	0.02	0.01	0.02	0.01
Meshuggah	0.01	0.03	0.19	0.01	0.0	0.0	0.73	0.01	0.01	0.0
Joe Hewitt (RAAF officer)	0.01	0.03	0.15	0.0	0.01	0.02	0.01	0.03	0.72	0.01
James Whiteside McCay	0.02	0.04	0.15	0.01	0.0	0.04	0.01	0.2	0.51	0.02
Ozzie Smith	0.03	0.02	0.16	0.0	0.72	0.0	0.01	0.02	0.02	0.01
Kenneth R. Shadrick	0.01	0.04	0.21	0.01	0.04	0.02	0.01	0.06	0.52	0.08
John Edward Brownlee sex scandal	0.01	0.05	0.4	0.0	0.01	0.03	0.01	0.46	0.01	0.01
Witold Lutosławski	0.01	0.07	0.22	0.02	0.01	0.03	0.47	0.03	0.13	0.02
Alboin	0.01	0.01	0.26	0.62	0.02	0.03	0.0	0.02	0.01	0.02
Princess Maria Amélia of Brazil	0.0	0.03	0.29	0.22	0.01	0.36	0.01	0.01	0.03	0.03
Brian Booth	0.74	0.01	0.14	0.01	0.04	0.02	0.0	0.02	0.01	0.01
Chrisye	0.01	0.03	0.19	0.01	0.01	0.01	0.69	0.01	0.02	0.01
Kenneth Walker	0.01	0.04	0.2	0.01	0.02	0.01	0.01	0.05	0.63	0.02
Epaminondas	0.05	0.03	0.22	0.35	0.04	0.08	0.04	0.09	0.05	0.04
Robin Friday	0.07	0.03	0.36	0.0	0.46	0.02	0.03	0.01	0.01	0.01
George Headley	0.76	0.01	0.13	0.0	0.04	0.02	0.0	0.02	0.01	0.01
Charles Stewart (Canadian politician)	0.01	0.02	0.24	0.01	0.01	0.05	0.0	0.64	0.02	0.01
Martha Layne Collins	0.01	0.04	0.15	0.01	0.03	0.01	0.02	0.72	0.01	0.01
Pope Pius XII	0.0	0.04	0.26	0.4	0.01	0.05	0.01	0.1	0.09	0.04
Stanley Goble	0.02	0.01	0.15	0.01	0.01	0.03	0.01	0.04	0.7	0.02
Adelaide Anne Procter	0.0	0.49	0.29	0.02	0.01	0.08	0.03	0.03	0.02	0.01
Anna of East Anglia	0.01	0.02	0.09	0.76	0.01	0.07	0.01	0.02	0.01	0.01
Georg Solti	0.02	0.08	0.21	0.02	0.02	0.05	0.5	0.03	0.06	0.01
Aaron Sorkin	0.01	0.49	0.22	0.0	0.06	0.02	0.11	0.06	0.02	0.01
Ba Cut	0.01	0.01	0.25	0.04	0.01	0.01	0.01	0.05	0.07	0.54
Domitian	0.0	0.05	0.28	0.51	0.01	0.02	0.01	0.07	0.03	0.02
Pyotr Ilyich Tchaikovsky and The Five	0.01	0.08	0.37	0.04	0.0	0.02	0.44	0.02	0.02	0.01
Honório Hermeto Carneiro Leão, Marquis of Paraná	0.0	0.0	0.25	0.41	0.0	0.01	0.0	0.3	0.02	0.01
Khalid al-Mihdhar	0.01	0.04	0.2	0.01	0.02	0.0	0.03	0.06	0.07	0.55
Michael Gomez	0.02	0.02	0.25	0.0	0.59	0.03	0.01	0.01	0.04	0.02
Alfred Russel Wallace	0.01	0.49	0.33	0.01	0.01	0.04	0.01	0.04	0.01	0.06
Fightin' Texas Aggie Band	0.0	0.03	0.29	0.01	0.05	0.01	0.35	0.04	0.2	0.01
Arthur Sifton	0.01	0.01	0.25	0.01	0.01	0.03	0.0	0.65	0.02	0.01
Jerry Voorhis	0.01	0.04	0.24	0.01	0.05	0.02	0.01	0.59	0.02	0.01
Powderfinger	0.06	0.02	0.17	0.01	0.03	0.01	0.66	0.01	0.02	0.02
Maggie Gyllenhaal	0.02	0.55	0.17	0.02	0.03	0.02	0.1	0.06	0.01	0.02
Thomas Beecham	0.02	0.07	0.19	0.0	0.02	0.1	0.54	0.03	0.02	0.01
Howie Morenz	0.01	0.0	0.13	0.01	0.78	0.03	0.01	0.01	0.01	0.01
Katharine Hepburn	0.01	0.54	0.3	0.01	0.06	0.02	0.04	0.02	0.0	0.01
John Whittle	0.02	0.02	0.1	0.01	0.01	0.04	0.01	0.01	0.77	0.01
Bob McEwen	0.03	0.04	0.21	0.01	0.03	0.0	0.02	0.63	0.01	0.02
Nikita Zotov	0.01	0.06	0.32	0.08	0.02	0.36	0.01	0.03	0.06	0.04
John Y. Brown (1835–1904)	0.01	0.02	0.22	0.0	0.02	0.01	0.01	0.71	0.0	0.01
Eadbald of Kent	0.01	0.01	0.12	0.79	0.01	0.05	0.01	0.01	0.01	0.01
John Millington Synge	0.02	0.48	0.27	0.03	0.03	0.08	0.04	0.01	0.02	0.04
Eric Bana	0.05	0.47	0.17	0.02	0.13	0.02	0.05	0.02	0.04	0.04
Georges Vézina	0.01	0.01	0.1	0.02	0.79	0.03	0.01	0.0	0.01	0.02
Paul E. Patton	0.01	0.02	0.19	0.0	0.02	0.01	0.01	0.73	0.01	0.0
Princess Alice of Battenberg	0.01	0.01	0.18	0.07	0.01	0.53	0.01	0.02	0.12	0.05
Charles Edward Magoon	0.01	0.04	0.24	0.02	0.01	0.02	0.02	0.56	0.04	0.04
Edward Drinker Cope	0.02	0.44	0.33	0.01	0.01	0.05	0.01	0.06	0.01	0.06
Simon Bolivar Buckner	0.01	0.01	0.17	0.01	0.01	0.01	0.01	0.56	0.17	0.05
Nikolai Rimsky-Korsakov	0.0	0.08	0.31	0.02	0.0	0.02	0.51	0.02	0.03	0.01
Grand Duchess Anastasia Nikolaevna of Russia	0.01	0.06	0.36	0.01	0.02	0.18	0.02	0.0	0.02	0.32
Sebastian Shaw (actor)	0.02	0.47	0.2	0.01	0.04	0.08	0.1	0.01	0.05	0.01
Ellis Paul	0.01	0.13	0.2	0.01	0.07	0.01	0.53	0.03	0.0	0.01
Peter Jennings	0.01	0.18	0.45	0.0	0.09	0.01	0.05	0.11	0.05	0.04
Bryan Gunn	0.06	0.04	0.26	0.01	0.5	0.03	0.03	0.02	0.03	0.01
Murray Chotiner	0.01	0.03	0.27	0.0	0.02	0.01	0.01	0.61	0.01	0.01
William Speirs Bruce	0.0	0.1	0.27	0.0	0.01	0.11	0.01	0.03	0.01	0.45
Bruno Maddox	0.02	0.34	0.21	0.0	0.02	0.02	0.05	0.01	0.01	0.32
Dick Turpin	0.02	0.08	0.27	0.01	0.01	0.15	0.01	0.02	0.01	0.41
Harry Murray	0.02	0.01	0.12	0.01	0.02	0.06	0.0	0.02	0.72	0.02
Hygeberht	0.01	0.01	0.15	0.6	0.02	0.17	0.01	0.02	0.02	0.01
Pat Nixon	0.01	0.19	0.34	0.0	0.01	0.04	0.03	0.32	0.03	0.03
Tom Derrick	0.02	0.02	0.22	0.01	0.03	0.01	0.01	0.01	0.65	0.03
Anton Chekhov	0.01	0.44	0.35	0.02	0.01	0.06	0.04	0.01	0.03	0.03
Charles Villiers Stanford	0.01	0.14	0.23	0.01	0.01	0.09	0.48	0.01	0.02	0.0
Bradley Joseph	0.01	0.06	0.24	0.01	0.01	0.01	0.62	0.02	0.01	0.02
Thomas R. Marshall	0.01	0.02	0.33	0.01	0.01	0.01	0.01	0.58	0.01	0.01
Harbhajan Singh	0.84	0.01	0.1	0.0	0.03	0.01	0.0	0.01	0.0	0.01
Gerard (archbishop of York)	0.01	0.03	0.15	0.04	0.01	0.72	0.01	0.01	0.01	0.01
Mellitus	0.01	0.01	0.13	0.65	0.01	0.13	0.02	0.02	0.02	0.01
Waisale Serevi	0.12	0.01	0.05	0.01	0.72	0.03	0.01	0.01	0.02	0.02
El Greco	0.01	0.34	0.22	0.34	0.0	0.01	0.03	0.01	0.01	0.04
Thomas Baker (aviator)	0.04	0.02	0.08	0.01	0.02	0.02	0.01	0.01	0.76	0.01
Bronwyn Bancroft	0.12	0.58	0.07	0.01	0.02	0.02	0.02	0.05	0.08	0.03
Felice Beato	0.01	0.46	0.21	0.05	0.01	0.06	0.02	0.02	0.07	0.1
James Robert Baker	0.01	0.48	0.29	0.01	0.02	0.01	0.09	0.04	0.03	0.02
Paul Stastny	0.01	0.01	0.06	0.01	0.84	0.01	0.01	0.02	0.01	0.02
Donnchadh, Earl of Carrick	0.01	0.0	0.11	0.54	0.01	0.3	0.0	0.0	0.01	0.01
Bronwyn Oliver	0.1	0.55	0.19	0.02	0.02	0.01	0.04	0.02	0.03	0.01
Raymond Brownell	0.02	0.01	0.06	0.01	0.01	0.02	0.01	0.02	0.82	0.02
James Bowie	0.0	0.04	0.22	0.01	0.02	0.03	0.01	0.07	0.05	0.56
Basiliscus	0.01	0.01	0.22	0.56	0.01	0.05	0.01	0.04	0.05	0.05
Juan Davis Bradburn	0.0	0.01	0.19	0.03	0.01	0.03	0.01	0.12	0.06	0.54
L. Ron Hubbard	0.01	0.15	0.33	0.01	0.02	0.02	0.02	0.07	0.04	0.34
Nine Inch Nails	0.01	0.05	0.22	0.0	0.02	0.01	0.65	0.02	0.01	0.02
Lat	0.01	0.6	0.25	0.01	0.01	0.01	0.04	0.04	0.01	0.02
G. Ledyard Stebbins	0.01	0.68	0.16	0.01	0.01	0.01	0.02	0.05	0.01	0.03
Rainilaiarivony	0.01	0.02	0.28	0.05	0.01	0.16	0.01	0.12	0.05	0.31
Elaine Paige	0.02	0.27	0.24	0.0	0.04	0.02	0.38	0.01	0.01	0.0
Bette Davis	0.01	0.52	0.3	0.0	0.04	0.02	0.04	0.05	0.01	0.01
Wihtred of Kent	0.01	0.01	0.13	0.73	0.02	0.04	0.01	0.02	0.01	0.02
Anne of Denmark	0.01	0.04	0.35	0.02	0.01	0.52	0.01	0.01	0.01	0.02
Hermann Detzner	0.01	0.09	0.21	0.02	0.01	0.01	0.02	0.02	0.26	0.36
Eric Brewer	0.01	0.01	0.05	0.01	0.87	0.02	0.01	0.01	0.01	0.01
H.D.	0.01	0.62	0.23	0.02	0.01	0.02	0.03	0.01	0.03	0.01
Art Ross	0.01	0.01	0.12	0.0	0.75	0.01	0.01	0.04	0.03	0.01
Mary Anning	0.01	0.49	0.33	0.01	0.01	0.09	0.0	0.02	0.01	0.03
Sarah Trimmer	0.01	0.56	0.29	0.04	0.01	0.04	0.01	0.03	0.0	0.01
I. M. Pei	0.0	0.47	0.33	0.01	0.02	0.01	0.03	0.08	0.02	0.03
Aldfrith of Northumbria	0.01	0.03	0.12	0.72	0.01	0.08	0.01	0.01	0.01	0.01
Audioslave	0.01	0.01	0.24	0.01	0.02	0.01	0.64	0.04	0.01	0.02
George W. Romney	0.01	0.05	0.29	0.01	0.03	0.01	0.01	0.55	0.02	0.02
Thich Quang Duc	0.01	0.06	0.27	0.03	0.01	0.03	0.01	0.07	0.03	0.48
Grand Duchess Olga Nikolaevna of Russia	0.01	0.05	0.43	0.01	0.01	0.29	0.01	0.0	0.02	0.17
Charles Holden	0.01	0.47	0.21	0.01	0.01	0.08	0.02	0.04	0.12	0.02
Thomas of Bayeux	0.01	0.01	0.15	0.04	0.01	0.71	0.01	0.03	0.01	0.01
Edward Elgar	0.01	0.12	0.25	0.01	0.0	0.09	0.49	0.01	0.02	0.01
Military career of Hugo Chávez	0.01	0.04	0.29	0.02	0.02	0.01	0.01	0.15	0.1	0.35
Rudolf Caracciola	0.01	0.01	0.21	0.01	0.58	0.02	0.01	0.02	0.12	0.02
John Barbirolli	0.01	0.06	0.19	0.01	0.04	0.07	0.57	0.01	0.04	0.0
Sandra Morgan	0.1	0.02	0.14	0.02	0.6	0.02	0.01	0.03	0.03	0.03
Bobby Robson	0.07	0.04	0.19	0.01	0.55	0.06	0.01	0.02	0.03	0.02
